Case #,Question,Answer,Simplefied question,Simplified Answer
"""00001409""","We are considering setting up an audience for our newly redesigned website that uses GA4 for analytics, and would like some guidance on this. We have a user experience that includes multiple pages, and we need to know which users go through this process in a single session. Here is more detail:

User clicks “Pray for Salvation” (event is triggered) and then are transitioned for another page.
User indicates if this was a rededication (event) or first time praying (different event).
User can also provide their email address and ask that we contact them (event).
 

We want to know, for example, how many users trigger the Pray for Salvation event and not the Rededication event in a single session. Or how many ask for contact and how many don’t.

 

In our previous setup with Universal Analytics, we accomplished this by using segments. Our understanding is that audiences were the way to go for GA, but the team found this while researching (and segments are not supported by the Google API):

When you create a new audience, it can take 24-48 hours for the audience to accumulate new users. In general, when a new user satisfies the audience criteria, it can take a day or two for that new user to be included in the audience.

 

These numbers need to be reported every day for the previous 24 hours, so we’re concerned audiences are not the way to go.

 

So, given all of this, these are our questions:

Does it really take a day or two for a new user to be included in an existing audience?
Is this turnaround time different from what exists for segments in Universal Analytics today? If this variability exists, currently, that might be ok.
Is there a better recommended approach to handling this dilemma?","1. It CAN take up to two days, however, it is more likely to take a day but the verbiage is set up to cover any delays that may occur.

2. Segments (comparisons in GA4) are session/user-based filters that look at the current data set. Sessions ARE available in GA4, but can only be used in Exploration reports (custom reports), which may be used to help reproduce the reports you would most commonly use in UA for your analysis.

In regards to the comparison, these can be applied to common reports, however, they are limited to looking at dimensions (excluding events). So unless there is another dimension that is being populated that can be used, this feature may not be helpful for your case

3. To get around the actual AUDIENCE from being attributed, there is a feature called ""Adience Triggers"".

https://support.google.com/analytics/answer/9934109?hl=en

This ""trigger"" will essentially fire an event when a user joins an audience (with the option to re-trigger if a user RE-joins the audience). This feature seems to be more FASTER than the actual user being attributed to an audience (the event sends the same day). If you plan on looking at the previous day's audience numbers, this ""Audience Trigger"" feature may be the way to go to get you the data you need in a timely manner.",Is there a better way to handle this need for daily reporting?,"Consider these approaches:

Exploration Reports: Use these custom reports to analyze session-based data, similar to UA segments.
Audience Triggers: Set up events that fire when users join or rejoin audiences. These events send data more quickly, often within the same day, making them suitable for daily reporting.
Key Points:

Audience population in GA4 can have a delay.
Exploration reports and audience triggers offer alternative solutions for timely data access.
Choose the approach that best aligns with your specific reporting needs.

https://support.google.com/analytics/answer/9934109?hl=en"
"""00001409""","This comment from the documentation below is confusing.

Does that mean each person gets one event per day ? Or one “additional” event (meaning 2 per day)?

If it is the first case, then it will work for us.

 

Select Create an additional event (up to one per day) when the audience membership refreshes if you want to trigger an event each time a user meets the audience criteria, even if they are already a member of that audience.","In regards to the statement, it means that if a user performs the audience requirements, it will generate an additional event for that day, but only once. The event can only be triggered once per day, and will not be able to retrigger until the next day (or any day after a single event has fired).","Can a user trigger an audience trigger event multiple times per day, or is it limited to one event per day?","A user can only trigger an audience trigger event once per day, even if they meet the audience criteria multiple times within that day.

Key points:

The event can only fire once per day for each user.
It will not retrigger until the next day, even if the user continues to meet the audience conditions.
This setting is designed to ensure data consistency and avoid potential over-reporting.

https://support.google.com/analytics/answer/9934109?hl=en"
"""00001415""","I believe what we really need to know is if there are settings other than the data collection settings in GA that allow for use of the data. 
 
We don't need someone to dive in and audit the system, just a question on how GA works in general. Are those settings all that need to be checked to not allow for others to use data?","In regards to what Google Analytics shares and doesn't share, the settings at the ACCOUNT level in your Google Analytics account can be adjusted:

Data sharing settings

This article highlights what data is shared and how to enable/disable each feature. These settings are how Google Analytics shares data and does not impact other tools.

Outside of these settings, if there are other things being sent to other platforms, it would not be from Google Analytics but other tags/pixels that may be implemented on your site/tag management tool.","Are there settings beyond data collection settings in GA that control data sharing, and are those settings enough to prevent others from using the data?","Data Sharing Settings:
 -These are the primary controls for managing how GA shares data.
 -They are found at the account level in your GA settings.
 - Adjust them to enable or disable specific data sharing features.
No Additional GA Settings:
 - There are no other settings within GA itself that govern data sharing.
External Tags/Pixels:
 - Be mindful of other tracking tools or pixels on your site or in your tag management system, as they might independently share data.
Review and Adjust:
 - Carefully review the data sharing settings in GA to align with your preferences.
 - Check for external tags or pixels that could share data and manage them accordingly."
"""00001417""",About Objects is struggling with our purchase everts throwing error_values and they are hoping we can escalate to Google to try and better understand why our purchases are receiving these errors.,"Here is a list of errors that can occur with firebase events: https://firebase.google.com/docs/analytics/errors

This can happen with ANY event (and you will be provided an error code + value to help determine the issue).

When looking at the ""firebase_error"" parameter in your event report, you will see the ""4"" code present:

Looking at the list of codes, you will see that ""4"" translates to:


Cause:
Event parameter value is too long 

Result:
The invalid parameter is dropped. A firebase_error parameter is added to the event and a firebase_error_value parameter is added to indicate the name of the parameter with the invalid value.


When you look at the ""error_value"", you will see that the invalid parameter is your items[0] parameter: 

This means that your item parameter exceeds the allotted size you can send with a Google Analytics 4 event.

GA4 does have collection limits, which can be reviewed here: Collection and configuration limits, [GA4] Google Analytics 360 (Limit Changes), and [GA4] Event collection limits

With this, you may have to evaluate the number of characters being sent within a parameter (possibly name as that seems to be a parameter that can fluctuate in characters quite a bit).

The Items parameter will need to be evaluated in regard to what is being sent, and there will need to be adjustments to the number of characters being transmitted.",Why are we receiving firebase_error for our purchase events in Firebase?,"First check to see what the error value is. If it is 4 follow below

1. Error Code 4: The error code 4 indicates that an event parameter value is too long, exceeding the allowed size for GA4 events. List of error codes: https://firebase.google.com/docs/analytics/errors
2. Affected Parameter: The specific parameter causing the error is the ""items[0]"" parameter.
3. Collection Limits: GA4 has collection limits for event parameters. Review these limits to understand the allowed character counts:

Collection and configuration limits
[GA4] Google Analytics 360 (Limit Changes): https://support.google.com/analytics/answer/9267744?hl=en&visit_id=638393901004041685-1750208081&rd=1

[GA4] Event collection limits 4. Address the Issue:
Analyze the ""items[0]"" parameter to determine what information is being sent and its character length.
Reduce the number of characters being transmitted for this parameter to fall within GA4's limits.
Consider focusing on the ""name"" parameter, as it often varies significantly in character count."
"""00001417""",About Objects is struggling with our purchase everts throwing error_values and they are hoping we can escalate to Google to try and better understand why our purchases are receiving these errors.,"Here is a list of errors that can occur with firebase events: https://firebase.google.com/docs/analytics/errors

This can happen with ANY event (and you will be provided an error code + value to help determine the issue).

When looking at the ""firebase_error"" parameter in your event report, you will see the ""4"" code present:

Looking at the list of codes, you will see that ""4"" translates to:


Cause:
Event parameter value is too long 

Result:
The invalid parameter is dropped. A firebase_error parameter is added to the event and a firebase_error_value parameter is added to indicate the name of the parameter with the invalid value.


When you look at the ""error_value"", you will see that the invalid parameter is your items[0] parameter: 

This means that your item parameter exceeds the allotted size you can send with a Google Analytics 4 event.

GA4 does have collection limits, which can be reviewed here: Collection and configuration limits, [GA4] Google Analytics 360 (Limit Changes), and [GA4] Event collection limits

With this, you may have to evaluate the number of characters being sent within a parameter (possibly name as that seems to be a parameter that can fluctuate in characters quite a bit).

The Items parameter will need to be evaluated in regard to what is being sent, and there will need to be adjustments to the number of characters being transmitted.","Why are we receiving firebase_error = ""4"" for our purchase events in Firebase?","Error code 4: Indicates an event parameter value is too long and has been dropped.

https://firebase.google.com/docs/analytics/errors"
"""00001417""",About Objects is struggling with our purchase everts throwing error_values and they are hoping we can escalate to Google to try and better understand why our purchases are receiving these errors.,"Here is a list of errors that can occur with firebase events: https://firebase.google.com/docs/analytics/errors

This can happen with ANY event (and you will be provided an error code + value to help determine the issue).

When looking at the ""firebase_error"" parameter in your event report, you will see the ""4"" code present:

Looking at the list of codes, you will see that ""4"" translates to:


Cause:
Event parameter value is too long 

Result:
The invalid parameter is dropped. A firebase_error parameter is added to the event and a firebase_error_value parameter is added to indicate the name of the parameter with the invalid value.


When you look at the ""error_value"", you will see that the invalid parameter is your items[0] parameter: 

This means that your item parameter exceeds the allotted size you can send with a Google Analytics 4 event.

GA4 does have collection limits, which can be reviewed here: Collection and configuration limits, [GA4] Google Analytics 360 (Limit Changes), and [GA4] Event collection limits

With this, you may have to evaluate the number of characters being sent within a parameter (possibly name as that seems to be a parameter that can fluctuate in characters quite a bit).

The Items parameter will need to be evaluated in regard to what is being sent, and there will need to be adjustments to the number of characters being transmitted.",Why are we seeing items[0] for our purchase events in Firebase?,"Problem parameter: The items[0] parameter is exceeding the allowed size for GA4 events.
Solution:
Review GA4 collection limits:
https://support.google.com/analytics/answer/9267744?hl=en&visit_id=638393901004041685-1750208081&rd=1

https://support.google.com/analytics/answer/11202874

https://support.google.com/analytics/answer/9267744?hl=en#:~:text=In%20addition%20to%20the%20prescribed,parameters%20in%20an%20ecommerce%20event.
Evaluate the items[0] parameter, focusing on character count.
Adjust the parameter's content to reduce the number of characters being transmitted."
,,,We need to change our property to 360 to get around the export limitations to Big Query.,"Sales Partners can set the service levels of properties for their clients. Sales Partner clients and Direct clients can set the service levels of their own properties. To set the service level of a property:

Sign in to Google Marketing Platform.
Click Administration > Organizations.
Click the relevant organization.
Sales Partner: Click Clients, then click a client name. Under Linked accounts, select Analytics, then the specific account.
Client: Under Linked accounts, select Analytics, then the specific account.
Select the check box for the Google Analytics 4 property you want to upgrade/downgrade.
Click More, then click Upgrade selected properties"
"""00001435""","Hello,

 

NCBI recently adjusted the data retention settings for GA4 reporting purposes to 50 months.  We therefore expect the data to go back 14 months per the google docs . The built-in reports (Reports tab) go back as expected, but any custom report we make in the Explore tab do not.  NLM has the same setting and they do not have this problem.  According to some docs we read, it should be retroactive, and we should be able to go back 14 months in these Explore reports as well, but we cannot, we can only go back to Feb 2023.  Can you check/verify our settings or otherwise confirm whether this should be happening or not, or if GA4 has another bug that must be reported?

https://support.google.com/analytics/answer/7667196?hl=en&utm_id=ad

https://marketingplatform.google.com/about/analytics_products/sla/

 

We see caveats in these docs such as  ""Large and XL properties are limited to 2 months"" but these are in the tens of billions of hits, but NCBI is below that.

Here is a recently created Explore report that we are only allowed to go back to Jan 31, 2023 using the date filters: https://analytics.google.com/analytics/web/?authuser=1#/analysis/p300702817/edit/UD4ofdj4R46dOUn0w26cjA

 

We have been collecting data in GA4 for over one year now, and of course we can access data going this far back using the raw data sent to BigQuery.

 

Thank you.","Hello and thank you for contacting us!

So the data retention setting will only take into account the value set from the point it is set at. This setting is not retroactive and will not allow you to use data 50 months in the past within custom reports until you have accumulated 50 months of data from the time you changed your setting. 

you mentioned that you have read that is should be retroactive. Can you provide me with that documentation? You may be referring to the statement in the Data Retention Documentation:

If you increase the retention period for a Google Analytics 4 property the change is applied to data that you have already collected.

This is stating that if your setting was originally set to 14 months and changed to 50 months then data that is within the 14-month range at the time of change will not be stored for 50 months. However, data that was removed AFTER 14 months will still not be available as it was not retained for explorations. 

What this means is that you will still only be able to go back 14 months from the day you changed the retention setting but will continue to build explorations with the same minimum date up to 50 months with your updated settings.

I hope this information was insightful (although I know not ideal).

Please review and let me know if you have any additional questions.

Thank you!",Why can't I access 14 months of data in custom Explore reports even though the data retention setting is 50 months?,"- Data retention is not retroactive for Explore reports. When you change the setting, it only applies to data collected from that point forward.

- Existing data within the 14-month range will be retained for 50 months, but older data already removed will not be available.

- You'll be able to access 14 months of data in Explore reports starting from the day you changed the setting.

- Going forward, you'll gradually be able to access up to 50 months of data in Explore reports as you accumulate more data."
"""00001442""","Got an additional question which was pointed out recently from one of our team members.

If you see the screenshot attached along with this email, there are different pages having the exact same number of pageviews on UGA. Could you tell us why is this happening and how could we prevent this from happening.
               FYI, all data.                                                                                                                                                                                                                                                                                      Is it possible for access to this property to be shared to support-team@searchdiscovery.com?

By filters, I mean navigating out of this report to the admin menu and opening the Filter sub-menu under the relevant view options.","I’ve got some good info to share:

Real-time Report Differences
You mentioned concern about GA4 numbers being both higher and lower than UA, which is why you only use UA for real-time reports. First, let’s take a step back for a minute and see if GA4 and UA’s overall numbers match up. 

Overall user counts are quite close to each other. Pageviews have a slightly larger difference for your main domain, but this could be due to OneTrust, GA4’s different system of pageview detection, or variances in where you have installed UA and GA4. What the metrics tell me is that you are receiving all data successfully, so we can safely postulate that the problem lies in how Google generates its real-time reports.

Google has openly acknowledged that UA’s real-time report has bugs that significantly impact the active users metric. They have no intention of fixing this since UA will be sunset this July. Additionally, bear in mind that UA is reporting on active users in the last 5 minutes, while GA4 is reporting on the last 30 minutes.

It is our opinion that your analytics implementation is working correctly and that your historical reports are accurate. For accurate real-time reporting, we highly recommend utilizing GA4’s report.

Pageview Metric Duplicates
In my initial response, I completely neglected to consider the usual culprit for matching metrics: report sampling. The sheer volume of traffic AP News accrues necessitates some aggressive traffic sampling. According to the Pages report in UA, only 1.55% of session traffic is being used to generate the report:


The metrics you are seeing are estimations based on this small sample size. For accurate numbers, you can run an unsampled export:","Why are different pages showing the same number of pageviews in reporting, and how can we fix this?
","One potential reason is Report Sampling:
The issue is likely due to report sampling, which estimates data based on a portion of traffic, to handle high volumes.
This can sometimes lead to duplicate metrics.

Recommendations:
- Increase Sampling Rate (if possible): Check if you can increase the sampling rate in the report's settings to get more accurate data.
- Utilize Unsampled Reports (if available): If the report offers unsampled reports, use them for precise metrics.
- Consider GA4: GA4 generally has less sampling, so it could provide more accurate pageview counts."
"""00001454""","This is regarding the event “marketo-webinar_form_fill”.  This use to be created from within GA4, but we more recently moved it to Google Tag Manager.

 

A portion of our webinar form pages are based on Marketo.  The pages are under a subdomain instead of the main domain, but the “thank you” those pages are under the main domain.  For example, is a user completed the webinar form from this page (https://start.uipath.com/Future-of-Work-Finance-Function.html), they would be direct to this page https://www.uipath.com/g/thank-you-webinar-on-demand.  This “thank you” page is standard across all marketo webinar form pages. 

 

With having multiple webinars, we would want to know the volume to each webinar.  When making the event in GA4, I thought I could get that answer by the “page referrer” dimension.  However, the data only showed us https://start.uipath.com and not the slug.  We found out that this was a limitation in browsers where intentional: https://www.cookiestatus.com/chrome/.

 

Therefore, we decided to create the event in GTM.  We added a parameter for the event called “form page location”.  This parameter is coming from a tag we included into the page “Set Cookie - Page location - Marketo Form”.  This cookie should allow us to see the full url of that form url page once they land on the “thank you page”.  Tags in GTM for reference: Marketo Webinar Form Submission and Set Cookie - Page location - Marketo Form.  Since we made the change recently, it looks like it sort of works for some pages, but not other.  I’d like your thoughts on how we can tackle this.
","Your tag that writes the page path cookie when clicking the submit button is set to fire only when the hostname is start.uipath.com, but I found a few forms that are on www.uipath.com. When a user hits the thank-you page, there's no cookie to draw from when the event fires.

I'd recommend either making sure all your webinar forms are on the start subdomain, or using something other than the subdomain to detect if the user is filling out a webinar form (maybe by injecting a ""webinar"" html attribute or class in your webinar marketo forms).","Our event in GA4 isn't capturing the full URL of the webinar form page for all submissions. How can we fix this?

","Check the tag settings first. 

A past issue was that the tag setting the cookie to store the form page location is only firing on the ""start.uipath.com"" subdomain, but some forms are on the main domain.

Solutions:

Unify Form Locations:
Move all webinar forms to the ""start.uipath.com"" subdomain.

Alternative Form Detection:
Use an HTML attribute or class (e.g., ""webinar"") to identify webinar forms on both subdomains and trigger the cookie accordingly."
